id,carat,cut,color,clarity,depth,table,x,y,z,price
9099,0.91,Very Good,D,SI1,59.3,58.0,6.33,6.38,3.77,4253
24593,1.01,Very Good,D,VVS2,63.0,56.0,6.35,6.41,4.02,10800
4336,0.3,Ideal,F,SI1,62.8,56.0,4.26,4.24,2.67,641
24025,1.01,Ideal,E,SI1,62.1,54.0,6.5,6.41,4.01,5599
734,2.1,Ideal,H,SI1,62.9,57.0,8.19,8.12,5.13,18648
3508,0.5,Very Good,F,SI1,61.4,57.0,5.08,5.12,3.13,1295
8478,1.7,Good,G,VS1,63.9,58.0,7.46,7.5,4.78,14787
6707,1.07,Premium,G,VS1,62.0,58.0,6.59,6.53,4.07,6730
4337,1.13,Ideal,E,I1,62.0,55.0,6.7,6.66,4.14,3797
9142,1.51,Premium,E,SI2,60.6,59.0,7.47,7.41,4.51,10570
13089,1.39,Premium,I,I1,62.6,57.0,7.15,7.1,4.46,3985
6079,0.3,Good,F,VS2,,55.0,4.25,4.28,2.71,484
4636,0.35,Ideal,D,SI1,62.3,55.0,4.54,4.51,2.82,827
2578,0.74,Very Good,H,SI1,62.4,58.0,5.71,5.76,3.58,2426
23201,2.22,Fair,G,SI2,64.4,58.0,8.32,8.15,5.3,12508
23277,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6814
13869,1.23,Good,G,SI1,63.1,56.0,6.78,6.81,4.29,6545
4316,0.32,Good,G,VS2,56.7,64.0,4.52,4.55,2.57,603
17029,0.91,Ideal,G,SI1,62.6,56.0,6.27,6.3,3.81,3991
363,1.06,Very Good,G,I1,60.7,63.0,6.59,6.56,3.99,2080
12976,0.7,Fair,D,VVS2,58.5,62.0,5.72,5.81,3.37,3296
6170,0.3,Premium,H,VS2,,60.0,4.26,4.31,2.65,473
15331,1.02,Premium,H,VS2,61.0,58.0,6.56,6.49,3.98,5666
18960,0.52,Ideal,H,VS1,62.5,58.0,5.14,5.17,3.22,1582
9541,0.4,Very Good,H,VVS1,62.3,55.0,4.73,4.77,2.95,1139
4642,0.32,Ideal,E,VS2,61.1,56.0,4.46,4.48,2.73,846
10808,1.17,Ideal,G,VS2,61.5,57.0,6.86,6.8,4.2,6139
6621,0.57,Premium,G,SI1,62.6,56.0,5.29,5.26,3.3,1915
3138,0.4,Premium,F,VS1,62.4,59.0,4.69,4.67,2.92,1050
25004,0.7,Very Good,E,SI2,63.1,54.0,5.73,5.65,3.59,2066
1181,0.68,Premium,G,VS1,58.6,59.0,5.8,5.77,3.39,2326
6049,0.51,Very Good,G,SI2,63.2,57.0,5.07,5.03,3.19,1100
20485,0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,4054
2973,0.5,Fair,I,VS1,66.9,56.0,4.85,4.81,3.23,969
5391,0.33,Very Good,H,VS1,59.7,59.0,4.52,4.53,2.7,579
26633,1.06,Very Good,H,VS2,62.4,56.0,6.49,6.56,4.07,5480
234,0.3,Ideal,F,VVS2,61.7,56.0,4.32,4.34,2.67,694
11118,0.71,Ideal,D,SI2,,57.0,5.77,5.83,3.49,2262
9956,1.08,Ideal,H,SI2,60.4,57.0,6.63,6.68,4.02,4455
21716,0.39,Very Good,I,VVS1,61.3,58.0,4.74,4.78,2.92,805
25378,0.7,Ideal,G,VS2,61.6,56.0,5.7,5.73,3.52,3451
16143,0.4,Ideal,E,VS1,62.0,54.0,4.77,4.74,2.95,1125
25917,0.9,Premium,F,SI2,61.6,58.0,6.23,6.15,3.81,3457
11574,0.32,Ideal,E,VS2,62.8,54.0,4.38,4.35,2.74,900
14434,0.25,Ideal,H,VVS1,62.4,55.0,4.04,4.08,2.53,525
5523,0.52,Premium,G,VS1,62.4,59.0,5.16,5.13,3.21,1815
24553,0.31,Ideal,G,VVS1,60.8,56.0,4.36,4.39,2.66,816
1673,0.41,Ideal,E,VS1,61.8,57.0,4.79,4.76,2.95,1153
21637,1.21,Good,G,VS2,59.1,61.0,6.95,6.89,4.09,7359
849,0.91,Premium,F,SI2,58.2,61.0,6.58,6.41,3.77,3746
5295,0.55,Ideal,F,VS1,62.3,53.0,5.28,5.31,3.3,1754
16209,2.24,Ideal,I,SI2,61.7,58.0,8.43,8.37,5.18,16709
4950,0.75,Good,F,VS1,64.4,59.0,5.67,5.72,3.66,2953
5666,0.26,Ideal,F,VVS1,62.4,56.0,4.11,4.1,2.56,769
2494,0.56,Premium,E,SI1,62.5,59.0,5.24,5.2,3.26,1653
1545,1.31,Very Good,E,VS2,63.1,56.0,6.95,6.9,4.37,10094
13965,0.33,Ideal,F,VVS2,60.7,57.0,4.48,4.51,2.73,824
